reason	mag_id_short	raw_label
failed_to_parse_protein_token	nan	GCA_000888835.1_ViralProj61011..HM004431.1_39...LP01
failed_to_parse_protein_token	nan	GCA_000889515.1_ViralProj61009..HM004432.1_29...LP01
failed_to_parse_protein_token	nan	GCA_000890375.1_ViralProj61013..HM004429.1_33...LP01
failed_to_parse_protein_token	nan	GCA_000890375.1_ViralProj61013..HM004429.1_249...LP01
failed_to_parse_protein_token	nan	GCA_000906035.1_ViralProj195482..HQ632826.1_32...LP01
failed_to_parse_protein_token	nan	GCA_000922335.1_ViralProj258005..KJ645900.1_213...MM09
failed_to_parse_protein_token	nan	GCA_001430035.1_ViralProj300256..LC015649.1_248...LP01
failed_to_parse_protein_token	nan	GCA_001430455.1_ViralProj300257..LC015648.1_134...LP01
failed_to_parse_protein_token	nan	GCA_001430655.1_ViralProj300258..LC015647.1_4...LP01
failed_to_parse_protein_token	nan	GCA_001430655.1_ViralProj300258..LC015647.1_8...LP01
failed_to_parse_protein_token	nan	GCA_002937195.1_ASM293719v1..KY747489.1_184...LP01
failed_to_parse_protein_token	nan	GCA_003051645.1_ASM305164v1..HM004430.1_30...LP01
